Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2043, eco4, 3, 133.41, 12.91, 64, 263, 0, 
2044, eco4, 3, 194.23, 12.58, 63, 288, 0, 
2045, eco4, 3, 194.23, 12.58, 63, 288, 0, 
2046, eco4, 3, 155.13, 12.55, 75, 275, 0, 
2047, eco4, 3, 169.8, 12.23, 65, 291, 0, 
2048, eco4, 3, 169.8, 12.23, 65, 291, 0, 
2049, eco4, 3, 171.1, 13.46, 56, 284, 0, 
2050, eco4, 3, 106.02, 13.54, 61, 291, 0, 
2051, eco4, 3, 159.54, 12.79, 74, 291, 0, 
2052, eco4, 3, 138.36, 12.4, 77, 286, 0, 
2053, eco4, 3, 108.38, 14.03, 56, 302, 0, 
2054, eco4, 3, 124.41, 12.1, 70, 268, 0, 
2055, eco4, 3, 129.33, 12.1, 80, 285, 0, 
2056, eco4, 3, 180.69, 13.71, 65, 365, 0, 
2057, eco4, 3, 206.17, 12.52, 53, 280, 0, 
2058, eco4, 3, 181.73, 13.03, 52, 309, 0, 
1979, eco5, 4, 134.95, 14.19, 66, 280, 0, 
1980, eco5, 4, 141.73, 13.85, 27, 296, 0, 
1981, eco5, 4, 114.42, 14.26, 49, 287, 0, 
1982, eco5, 4, 108.36, 15.15, 24, 321, 0, 
1983, eco5, 4, 134.91, 15.49, 45, 283, 0, 
1984, eco5, 4, 170.69, 14.19, 53, 319, 0, 
1985, eco5, 4, 155.58, 13.87, 22, 284, 0, 
1986, eco5, 4, 120.85, 14.93, 55, 315, 0, 
1987, eco5, 4, 147.22, 14.71, 49, 316, 0, 
1988, eco5, 4, 114.42, 14.26, 49, 287, 0, 
1989, eco5, 4, 185.51, 14.15, 76, 291, 0, 
1990, eco5, 4, 102.78, 13.87, 59, 273, 0, 
1991, eco5, 4, 134.95, 14.19, 66, 280, 0, 
1992, eco5, 4, 115.54, 14.18, 44, 302, 0, 
1993, eco5, 4, 114.81, 14.25, 62, 304, 0, 
1994, eco5, 4, 170.69, 14.19, 53, 319, 0, 
1995, eco5, 4, 119.34, 16.13, 0, 295, 0, 
1996, eco5, 4, 119.34, 16.13, 0, 295, 0, 
1997, eco5, 4, 141.73, 13.85, 27, 296, 0, 
1998, eco5, 4, 174.35, 14.12, 45, 289, 0, 
1999, eco5, 4, 117.39, 14.42, 54, 321, 0, 
2000, eco5, 4, 119.34, 16.13, 0, 295, 0, 
2001, eco5, 4, 141.73, 13.85, 27, 296, 0, 
2002, eco5, 4, 114.81, 14.25, 62, 304, 0, 
2003, eco5, 4, 114.42, 14.26, 49, 287, 0, 
2004, eco5, 4, 135.99, 14.88, 58, 297, 0, 
2005, eco5, 4, 112.94, 14.58, 46, 269, 0, 
2006, eco5, 4, 119, 14.59, 0, 282, 0, 
2007, eco5, 4, 134.81, 14.66, 38, 306, 0, 
2008, eco5, 4, 144.26, 15.5, 0, 320, 0, 
2009, eco5, 4, 170.43, 13.79, 58, 284, 0, 
2010, eco5, 4, 135.37, 14.38, 55, 292, 0, 
2011, eco5, 4, 159.8, 15.57, 0, 307, 0, 
2012, eco5, 4, 141.73, 13.85, 27, 296, 0, 
2013, eco5, 4, 119, 14.59, 0, 282, 0, 
2014, eco5, 4, 170.43, 13.79, 58, 284, 0, 
2015, eco5, 4, 150.76, 13.73, 51, 299, 0, 
2016, eco5, 4, 157.16, 14.37, 49, 317, 0, 
2017, eco5, 4, 144.26, 15.5, 0, 320, 0, 
2018, eco5, 4, 102.78, 13.87, 59, 273, 0, 
2019, eco5, 4, 112.94, 14.58, 46, 269, 0, 
2020, eco5, 4, 116.73, 14.87, 36, 320, 0, 
